,y
11440,1
1514,1
21571,1
18315,1
11308,1
39188,0
37309,0
19147,1
24095,1
5694,1
42669,0
29881,0
25192,1
34180,0
26838,0
47323,0
1205,1
18216,1
39448,0
18687,1
36649,0
12276,1
8190,1
23882,1
24501,1
40515,0
14559,1
16683,1
27640,0
30169,0
25514,1
31585,0
28991,0
35249,0
8488,1
22187,1
29336,0
22657,1
19507,1
38898,0
1452,1
3139,1
18347,1
29792,0
34534,0
20310,1
50532,0
30009,0
28015,0
28458,0
44549,0
40499,0
48250,0
26719,0
41601,0
346,1
8461,1
7938,1
26469,0
24925,1
23529,1
47091,0
29776,0
41716,0
4966,1
41396,0
49218,0
14260,1
9960,1
50051,0
46530,0
5962,1
22256,1
41445,0
44634,0
38724,0
15702,1
12423,1
18173,1
5830,1
18098,1
38495,0
5621,1
17390,1
4372,1
41267,0
30800,0
20883,1
43364,0
21958,1
11454,1
21453,1
21116,1
5952,1
11230,1
9047,1
28266,0
38463,0
44241,0
18548,1
15061,1
21358,1
37266,0
45848,0
7161,1
41014,0
41857,0
44420,0
42580,0
21762,1
35426,0
6694,1
3889,1
27764,0
15618,1
33370,0
29173,0
41178,0
1086,1
34370,0
13852,1
533,1
5788,1
21955,1
23423,1
25467,1
39678,0
33204,0
38612,0
15742,1
9768,1
6415,1
39998,0
5292,1
40534,0
28309,0
28096,0
8478,1
17874,1
165,1
44008,0
29353,0
30045,0
37674,0
42819,0
50690,0
43700,0
20493,1
28118,0
37414,0
32491,0
31204,0
30283,0
2752,1
10361,1
3723,1
50098,0
5568,1
42253,0
2077,1
48417,0
20339,1
46001,0
41162,0
23676,1
20211,1
28677,0
34860,0
32986,0
50028,0
10383,1
17426,1
25046,1
17599,1
14538,1
13666,1
19014,1
46996,0
30486,0
25570,0
27217,0
44010,0
46350,0
21216,1
26124,0
619,1
14750,1
37080,0
20277,1
30199,0
25350,1
34608,0
973,1
27453,0
29532,0
39831,0
24674,1
7180,1
15957,1
27759,0
264,1
9827,1
47329,0
13261,1
35837,0
19516,1
49309,0
22024,1
10954,1
8697,1
3829,1
31873,0
16666,1
2413,1
35425,0
27838,0
46705,0
36651,0
22397,1
43127,0
1304,1
21921,1
41885,0
32908,0
41156,0
31663,0
35296,0
17179,1
20195,1
49438,0
44604,0
15066,1
5048,1
10378,1
17837,1
22884,1
31410,0
31601,0
29985,0
47537,0
42196,0
7437,1
25071,1
7463,1
25246,1
25094,1
16216,1
35655,0
16272,1
17425,1
19960,1
25787,0
30785,0
31170,0
36324,0
50756,0
3240,1
35797,0
13653,1
485,1
38094,0
23786,1
36742,0
47030,0
15342,1
43157,0
5027,1
28914,0
39021,0
5373,1
40677,0
34773,0
15163,1
30977,0
15922,1
41621,0
37866,0
12170,1
35260,0
5369,1
38493,0
20668,1
43993,0
33956,0
8703,1
47056,0
10412,1
19015,1
5101,1
9955,1
27030,0
15946,1
49974,0
21489,1
23208,1
42032,0
11576,1
50763,0
48215,0
44627,0
4359,1
41727,0
6194,1
41652,0
9378,1
39005,0
15876,1
45103,0
39636,0
25976,0
30971,0
37549,0
16579,1
16639,1
41557,0
27494,0
8008,1
10259,1
36097,0
34327,0
43077,0
31385,0
23196,1
38938,0
22055,1
34679,0
39737,0
235,1
34772,0
41806,0
505,1
45424,0
3134,1
1486,1
23023,1
50151,0
48763,0
23249,1
29837,0
5392,1
33452,0
21064,1
2510,1
23032,1
36181,0
10536,1
50587,0
14669,1
50073,0
4943,1
41134,0
7414,1
24586,1
49991,0
22677,1
14513,1
37037,0
18633,1
2147,1
6071,1
11971,1
49212,0
27980,0
934,1
29010,0
50135,0
10159,1
35690,0
44480,0
16011,1
2165,1
29240,0
30900,0
6083,1
8169,1
21657,1
28448,0
36177,0
8962,1
48276,0
22069,1
3566,1
10099,1
22958,1
48356,0
7050,1
7331,1
42874,0
46180,0
18476,1
6221,1
43515,0
22321,1
19246,1
46603,0
35575,0
1552,1
33639,0
48818,0
15912,1
37713,0
49253,0
39572,0
1450,1
19625,1
2781,1
31499,0
17687,1
27182,0
37361,0
30875,0
40351,0
22836,1
22277,1
15985,1
6788,1
26822,0
18136,1
22786,1
26575,0
32290,0
26217,0
7268,1
31389,0
1998,1
36235,0
16420,1
42696,0
43379,0
10805,1
28322,0
21180,1
43026,0
19023,1
481,1
22387,1
42974,0
41202,0
28210,0
35288,0
42981,0
8735,1
49283,0
23058,1
47469,0
13177,1
23566,1
9922,1
50971,0
6921,1
37580,0
16836,1
19215,1
47431,0
34190,0
35000,0
42198,0
20321,1
43866,0
41148,0
17125,1
48581,0
30383,0
19753,1
29525,0
18638,1
22845,1
797,1
47888,0
32274,0
36205,0
18786,1
2514,1
32995,0
8130,1
23557,1
7327,1
36917,0
49617,0
29540,0
32762,0
26716,0
487,1
25454,1
12310,1
13642,1
48741,0
20530,1
35294,0
34618,0
20239,1
28570,0
48852,0
28351,0
26939,0
39326,0
32024,0
18011,1
46683,0
32568,0
20561,1
14261,1
35779,0
9715,1
35524,0
45151,0
31740,0
26950,0
1719,1
46295,0
41752,0
8509,1
12949,1
14043,1
48604,0
23921,1
34587,0
19698,1
37847,0
31223,0
16871,1
5091,1
13837,1
36259,0
16338,1
32496,0
34113,0
25430,1
36550,0
48065,0
29462,0
48555,0
45153,0
18111,1
20419,1
21615,1
43453,0
4156,1
32041,0
9789,1
8511,1
24708,1
46366,0
7690,1
27543,0
46938,0
14847,1
50631,0
41332,0
6547,1
12567,1
44455,0
43829,0
6470,1
27935,0
5143,1
47268,0
42893,0
28609,0
22456,1
11764,1
16841,1
31094,0
31179,0
44374,0
11119,1
43614,0
32771,0
25028,1
8274,1
32308,0
12794,1
14595,1
47197,0
45824,0
46821,0
35409,0
39884,0
30242,0
43870,0
17149,1
10197,1
2518,1
19224,1
45554,0
18946,1
37018,0
6860,1
45701,0
50824,0
22716,1
42645,0
6518,1
9783,1
42454,0
48405,0
10866,1
38250,0
50311,0
22678,1
22612,1
39565,0
32900,0
50451,0
40758,0
8514,1
737,1
9797,1
23335,1
12616,1
46924,0
7606,1
29468,0
8564,1
19054,1
26741,0
43214,0
28471,0
7081,1
33655,0
28265,0
26904,0
2980,1
35645,0
2594,1
15011,1
49030,0
3120,1
38070,0
24367,1
9304,1
27445,0
13934,1
17286,1
15617,1
31942,0
50254,0
17701,1
15519,1
35586,0
19034,1
11306,1
5916,1
19906,1
19110,1
30929,0
9210,1
38925,0
47765,0
30090,0
30304,0
4430,1
29002,0
48919,0
50788,0
44906,0
21342,1
2233,1
35164,0
5079,1
38879,0
19694,1
2420,1
29511,0
6464,1
21015,1
39078,0
35440,0
49210,0
34688,0
26487,0
9010,1
25284,1
26782,0
39882,0
13033,1
13807,1
4858,1
12816,1
40374,0
35525,0
42786,0
27250,0
4131,1
16260,1
46125,0
36701,0
19917,1
4808,1
18588,1
14886,1
22248,1
27642,0
32637,0
33026,0
3414,1
40667,0
21050,1
49825,0
37930,0
20098,1
43663,0
9683,1
34650,0
8278,1
38699,0
39123,0
2840,1
6021,1
30020,0
34843,0
10533,1
38790,0
37265,0
48460,0
19710,1
32377,0
9821,1
28324,0
44658,0
27825,0
23407,1
10307,1
10320,1
28122,0
13721,1
43396,0
36933,0
10746,1
41263,0
36797,0
37433,0
17066,1
40305,0
47116,0
8413,1
19679,1
19223,1
49369,0
48799,0
15926,1
46585,0
1536,1
25242,1
33571,0
10308,1
32730,0
38017,0
8655,1
3883,1
24574,1
20346,1
23693,1
19562,1
31102,0
31181,0
28119,0
49182,0
46912,0
146,1
16528,1
29267,0
30204,0
35604,0
9554,1
30226,0
41733,0
47874,0
14668,1
35082,0
12100,1
31112,0
40956,0
541,1
30316,0
1508,1
15105,1
1106,1
35553,0
23040,1
20308,1
25149,1
40992,0
7508,1
44356,0
40703,0
43372,0
19168,1
27824,0
23126,1
2864,1
46783,0
1581,1
5696,1
27954,0
34798,0
19155,1
19645,1
39911,0
9623,1
49592,0
1413,1
23809,1
50560,0
10587,1
31989,0
39109,0
30559,0
38770,0
42706,0
5240,1
39828,0
24162,1
38857,0
12628,1
10572,1
42697,0
18855,1
2217,1
20034,1
21170,1
35171,0
2850,1
39106,0
15364,1
21227,1
45507,0
45640,0
27147,0
41403,0
39749,0
5224,1
33369,0
43053,0
2134,1
24371,1
34434,0
1426,1
25975,0
39485,0
16305,1
31544,0
6672,1
36744,0
11599,1
38030,0
50190,0
24504,1
13507,1
17471,1
48204,0
8265,1
37036,0
47643,0
14924,1
32097,0
18303,1
39176,0
9043,1
11620,1
46298,0
42237,0
48444,0
42249,0
27581,0
29474,0
33246,0
23300,1
45004,0
44270,0
42866,0
18165,1
4828,1
24342,1
45180,0
20392,1
3958,1
19279,1
14981,1
40831,0
11677,1
19020,1
40421,0
34560,0
18471,1
8580,1
4371,1
40763,0
11370,1
28631,0
19371,1
32697,0
48726,0
32871,0
32866,0
41294,0
5525,1
18614,1
3650,1
222,1
39402,0
9083,1
23872,1
17191,1
29182,0
30173,0
6278,1
9619,1
46276,0
43,1
12557,1
16676,1
8784,1
16227,1
50164,0
10589,1
20911,1
6670,1
26247,0
25574,0
17137,1
2118,1
11108,1
25166,1
39683,0
22389,1
43115,0
37917,0
17648,1
5196,1
45678,0
30867,0
37916,0
20870,1
46101,0
32516,0
27925,0
1907,1
6731,1
13918,1
11405,1
16622,1
33856,0
31006,0
39983,0
40744,0
46928,0
172,1
392,1
8161,1
29965,0
5367,1
5674,1
34936,0
18026,1
37790,0
18982,1
35557,0
48435,0
36874,0
41501,0
8615,1
30631,0
13251,1
16089,1
27614,0
5333,1
40021,0
3747,1
13499,1
15079,1
15219,1
21338,1
10832,1
2070,1
15112,1
43195,0
44166,0
20604,1
49897,0
2425,1
38303,0
26309,0
48023,0
25652,0
15800,1
3431,1
8426,1
35010,0
16582,1
26825,0
45614,0
32734,0
5988,1
44667,0
31313,0
42896,0
50905,0
8993,1
2807,1
9079,1
4262,1
509,1
18155,1
28998,0
28905,0
1229,1
13319,1
22653,1
1546,1
41920,0
47009,0
12663,1
49961,0
11028,1
22928,1
40729,0
46068,0
43916,0
21609,1
50799,0
33478,0
24948,1
45610,0
34254,0
22287,1
49520,0
35821,0
1434,1
46991,0
28851,0
15404,1
14439,1
7652,1
1763,1
12939,1
49526,0
9774,1
16938,1
7967,1
40889,0
42018,0
30890,0
36878,0
28071,0
16723,1
35788,0
31243,0
12971,1
16143,1
8567,1
30030,0
29718,0
47393,0
41911,0
31206,0
2916,1
39397,0
12219,1
3584,1
30947,0
25822,0
37946,0
25542,0
43928,0
41555,0
32512,0
15223,1
29197,0
7675,1
18639,1
4491,1
5152,1
49699,0
15662,1
17115,1
37278,0
6546,1
24957,1
35941,0
33799,0
3978,1
24625,1
35404,0
47541,0
44978,0
21905,1
20297,1
23172,1
8209,1
38390,0
30651,0
29896,0
17177,1
42898,0
3456,1
20696,1
11377,1
2918,1
22522,1
35121,0
15240,1
1188,1
38956,0
35697,0
49353,0
33874,0
33632,0
28551,0
39396,0
13657,1
22834,1
589,1
13509,1
37831,0
39820,0
40711,0
48080,0
27006,0
13422,1
25957,0
14061,1
24702,1
15006,1
37191,0
36993,0
43766,0
37913,0
23390,1
7343,1
14480,1
18526,1
8436,1
48033,0
42211,0
40432,0
18453,1
2651,1
29812,0
19614,1
21979,1
16316,1
36232,0
7556,1
7772,1
24640,1
39301,0
44793,0
5974,1
9641,1
14187,1
47890,0
13405,1
43564,0
30415,0
23637,1
19081,1
4047,1
30857,0
47887,0
27500,0
26589,0
32353,0
18003,1
29582,0
25114,1
886,1
19008,1
24922,1
39330,0
38473,0
32608,0
10398,1
316,1
34484,0
48669,0
8553,1
32687,0
2274,1
48812,0
36141,0
41089,0
42609,0
37102,0
21372,1
37524,0
23849,1
41929,0
39515,0
49445,0
47406,0
21471,1
44150,0
46161,0
32396,0
10119,1
369,1
44433,0
16964,1
20463,1
37016,0
14282,1
32711,0
50998,0
31662,0
30658,0
10840,1
21703,1
40249,0
30928,0
3992,1
48679,0
30011,0
47900,0
26226,0
44177,0
47457,0
50416,0
1774,1
26738,0
19242,1
31347,0
15445,1
7712,1
5561,1
31091,0
1951,1
28206,0
29878,0
29988,0
5734,1
18955,1
40203,0
14880,1
24736,1
2871,1
19791,1
48194,0
32715,0
310,1
49064,0
27668,0
49666,0
49065,0
47854,0
14023,1
6162,1
29327,0
13189,1
23477,1
24007,1
24776,1
17362,1
12682,1
15776,1
43038,0
42844,0
2193,1
12151,1
13926,1
22441,1
40554,0
26927,0
27885,0
18299,1
8414,1
39752,0
2602,1
22648,1
50544,0
2154,1
39420,0
25005,1
31641,0
30065,0
35198,0
48333,0
43065,0
46158,0
33025,0
24758,1
24474,1
36444,0
47150,0
4105,1
46528,0
22584,1
42768,0
44306,0
46278,0
22583,1
38312,0
3320,1
33529,0
10342,1
23484,1
28825,0
27114,0
28173,0
24177,1
48653,0
35324,0
42761,0
43310,0
21634,1
26894,0
8730,1
44438,0
27505,0
16086,1
285,1
19243,1
13255,1
50013,0
12735,1
40768,0
28142,0
23392,1
30814,0
6285,1
45555,0
23021,1
8694,1
29625,0
27002,0
35396,0
1321,1
48586,0
30912,0
37672,0
50804,0
880,1
46023,0
38297,0
45914,0
43596,0
28216,0
42363,0
50252,0
50055,0
5303,1
29859,0
49540,0
42010,0
3260,1
21169,1
27582,0
44960,0
45753,0
18760,1
41607,0
27734,0
40901,0
42485,0
3069,1
10297,1
33409,0
45804,0
28943,0
3100,1
40098,0
16462,1
6558,1
33876,0
27303,0
5171,1
44191,0
430,1
19277,1
49995,0
44303,0
21110,1
1993,1
35520,0
27276,0
1083,1
2446,1
34505,0
5449,1
14359,1
41205,0
5438,1
27127,0
35710,0
2662,1
42276,0
16133,1
17814,1
24770,1
34093,0
33401,0
33841,0
14128,1
48956,0
22635,1
5937,1
50559,0
3756,1
41988,0
49095,0
47196,0
40592,0
40820,0
28959,0
10,1
1932,1
17934,1
45502,0
26025,0
10688,1
3227,1
45213,0
29518,0
35193,0
21579,1
42532,0
9825,1
11545,1
26012,0
42087,0
7491,1
26897,0
15272,1
34993,0
29647,0
48103,0
22860,1
16937,1
6843,1
36872,0
44834,0
22311,1
50471,0
7213,1
29112,0
18032,1
33823,0
33667,0
46111,0
1617,1
37942,0
3267,1
7031,1
21209,1
9854,1
50952,0
30191,0
46784,0
44015,0
12964,1
49513,0
13486,1
25144,1
30761,0
48668,0
38449,0
31928,0
42027,0
15027,1
7354,1
50193,0
43088,0
3188,1
12574,1
19827,1
30241,0
42222,0
32647,0
16617,1
37675,0
4170,1
807,1
2282,1
14588,1
20818,1
25376,1
23370,1
12358,1
17778,1
28900,0
8230,1
46021,0
44234,0
27737,0
24383,1
50768,0
43277,0
10610,1
49639,0
39710,0
23318,1
30554,0
5586,1
25116,1
45124,0
12502,1
6504,1
7666,1
9704,1
40010,0
49623,0
40730,0
7453,1
40352,0
42491,0
5186,1
8915,1
40126,0
17283,1
23218,1
17368,1
23576,1
34526,0
45960,0
8176,1
20943,1
4341,1
31987,0
25197,1
13525,1
16028,1
260,1
27806,0
203,1
6481,1
41261,0
11237,1
33978,0
43897,0
23265,1
48498,0
48271,0
6586,1
1396,1
45703,0
28810,0
40156,0
42240,0
47143,0
23474,1
39731,0
27399,0
4954,1
43583,0
28288,0
15555,1
11707,1
23374,1
49235,0
30808,0
47804,0
27159,0
27465,0
26573,0
1583,1
27020,0
39548,0
11294,1
42593,0
35996,0
11968,1
10391,1
44956,0
7745,1
35561,0
36155,0
19042,1
9604,1
50287,0
29195,0
47905,0
41649,0
19548,1
29085,0
31359,0
50008,0
48163,0
24787,1
44757,0
1953,1
32971,0
22515,1
7186,1
50086,0
10050,1
38448,0
28003,0
814,1
21758,1
7659,1
31839,0
33746,0
9801,1
19481,1
12798,1
2688,1
36639,0
15901,1
47808,0
1688,1
24734,1
24717,1
46856,0
21122,1
13815,1
24998,1
31697,0
20656,1
37228,0
8086,1
36482,0
22505,1
15808,1
33075,0
19992,1
50693,0
42418,0
15303,1
46892,0
27903,0
50158,0
38968,0
5860,1
15689,1
21730,1
43054,0
49254,0
38588,0
17360,1
22685,1
37993,0
9796,1
39608,0
26384,0
7847,1
1967,1
3961,1
28595,0
46524,0
21742,1
4726,1
9403,1
46702,0
19768,1
28911,0
27687,0
17017,1
32507,0
20085,1
31465,0
48104,0
19526,1
36817,0
1242,1
7725,1
32665,0
30111,0
1786,1
34932,0
39779,0
16854,1
47209,0
12192,1
3714,1
49198,0
16339,1
45451,0
43237,0
36016,0
17865,1
41969,0
7795,1
28685,0
48269,0
10041,1
32515,0
36818,0
46662,0
45433,0
32109,0
37678,0
35642,0
13691,1
3752,1
27448,0
38064,0
25991,0
37862,0
22224,1
47981,0
21423,1
22008,1
11189,1
2149,1
8974,1
19624,1
1416,1
35957,0
35360,0
47313,0
585,1
33515,0
24505,1
45418,0
4823,1
20127,1
33257,0
38457,0
25099,1
1853,1
12295,1
39799,0
25331,1
20948,1
678,1
2382,1
925,1
20199,1
21509,1
4224,1
19172,1
42395,0
13497,1
18270,1
45906,0
23071,1
50805,0
8253,1
16193,1
1030,1
41427,0
38426,0
17292,1
12080,1
5944,1
50232,0
30894,0
49657,0
46935,0
47616,0
16534,1
36139,0
35399,0
2592,1
18967,1
3734,1
19463,1
4812,1
13210,1
1928,1
34299,0
19156,1
48320,0
3197,1
29428,0
33065,0
14031,1
40857,0
47666,0
13688,1
36773,0
45058,0
45505,0
44869,0
7030,1
27105,0
44570,0
15700,1
49424,0
16805,1
16525,1
17545,1
19964,1
18242,1
12294,1
5986,1
38506,0
5913,1
35181,0
5067,1
23920,1
5396,1
40638,0
36034,0
10793,1
31221,0
45777,0
41947,0
28703,0
47246,0
41864,0
27960,0
20762,1
24600,1
42799,0
32281,0
7516,1
3676,1
24519,1
8066,1
46744,0
23153,1
45493,0
739,1
19407,1
520,1
21819,1
109,1
44605,0
2390,1
39872,0
8759,1
20446,1
17475,1
31689,0
1371,1
41136,0
10070,1
47296,0
22721,1
47760,0
16429,1
16106,1
30754,0
40251,0
38282,0
43613,0
20913,1
1241,1
47534,0
8108,1
35824,0
41298,0
38716,0
23184,1
2539,1
29591,0
33887,0
30491,0
16073,1
40320,0
43857,0
40143,0
22437,1
29584,0
3639,1
7663,1
33555,0
24201,1
12886,1
34730,0
44332,0
31462,0
5130,1
26881,0
37443,0
40373,0
47823,0
28762,0
15846,1
8779,1
6217,1
32058,0
15721,1
45478,0
45689,0
7045,1
40233,0
19706,1
22014,1
20921,1
50159,0
9870,1
14434,1
28942,0
985,1
43779,0
14623,1
11169,1
30612,0
43828,0
29739,0
10155,1
30567,0
24121,1
38157,0
15245,1
24898,1
46717,0
7673,1
10768,1
29513,0
11950,1
21865,1
37897,0
36152,0
36867,0
50577,0
35374,0
44176,0
8063,1
32537,0
8012,1
19737,1
15048,1
26036,0
35880,0
49110,0
11725,1
159,1
30964,0
25404,1
10348,1
18997,1
7068,1
33344,0
43328,0
27420,0
17933,1
25256,1
29100,0
50795,0
18952,1
20442,1
9752,1
15177,1
32727,0
41359,0
19086,1
31016,0
14030,1
50179,0
6375,1
30091,0
25600,0
19059,1
18123,1
13664,1
6692,1
41029,0
27623,0
29730,0
30670,0
23369,1
32423,0
12314,1
20112,1
19626,1
1014,1
38283,0
2470,1
13936,1
18606,1
43516,0
27738,0
16297,1
44724,0
19553,1
48724,0
3011,1
15300,1
34193,0
24209,1
33880,0
48602,0
46551,0
20679,1
27950,0
49490,0
39101,0
8476,1
46973,0
50146,0
32709,0
31954,0
50883,0
50171,0
13044,1
50540,0
23989,1
6180,1
43621,0
37597,0
19627,1
34538,0
31983,0
31063,0
41139,0
30265,0
35197,0
17359,1
20999,1
31788,0
9095,1
11404,1
14810,1
41756,0
18440,1
5495,1
42036,0
35740,0
34000,0
30765,0
46089,0
12454,1
24385,1
27553,0
9271,1
11388,1
2084,1
8069,1
27470,0
42114,0
41405,0
5288,1
10179,1
7237,1
36919,0
20663,1
20047,1
3870,1
18460,1
14925,1
19372,1
44488,0
33342,0
38053,0
12478,1
45239,0
3288,1
44088,0
35892,0
6900,1
19487,1
22690,1
10773,1
30260,0
30640,0
41933,0
40973,0
22691,1
21530,1
22435,1
42557,0
10568,1
21928,1
45882,0
21675,1
20004,1
24834,1
22705,1
18072,1
26063,0
14056,1
43496,0
26803,0
17212,1
48645,0
25483,1
18627,1
20865,1
26972,0
4801,1
28594,0
507,1
20673,1
40426,0
37360,0
38864,0
32368,0
8424,1
48018,0
38202,0
6952,1
12258,1
50731,0
51006,0
32113,0
47073,0
5523,1
6654,1
37638,0
6141,1
17755,1
49753,0
12051,1
12429,1
24893,1
47512,0
9191,1
19752,1
3726,1
41281,0
1873,1
48070,0
47670,0
3805,1
31372,0
16563,1
17537,1
45488,0
18170,1
5749,1
23664,1
49048,0
36065,0
38722,0
39874,0
10791,1
1465,1
23555,1
6339,1
3583,1
19866,1
44874,0
449,1
20217,1
7920,1
28615,0
11899,1
21887,1
10683,1
17118,1
40848,0
11145,1
15057,1
48796,0
9065,1
42843,0
37633,0
40130,0
29471,0
41482,0
26664,0
25440,1
39450,0
35102,0
36851,0
17758,1
35419,0
11646,1
25310,1
20180,1
8351,1
12863,1
44771,0
17523,1
46326,0
11445,1
37566,0
43495,0
10357,1
22475,1
26878,0
20364,1
29917,0
10902,1
41790,0
9609,1
22778,1
36044,0
23690,1
4005,1
8606,1
17391,1
13257,1
22729,1
48127,0
40160,0
30692,0
33913,0
457,1
3377,1
28284,0
17698,1
49694,0
31541,0
12646,1
14386,1
36959,0
23024,1
24492,1
7645,1
45745,0
37934,0
35997,0
17134,1
22655,1
11726,1
50825,0
438,1
10875,1
48699,0
39003,0
44075,0
37655,0
23177,1
41932,0
17923,1
358,1
1647,1
35905,0
11167,1
37724,0
42847,0
7476,1
8746,1
21589,1
40270,0
7398,1
16070,1
46591,0
22147,1
23547,1
36687,0
293,1
29936,0
9211,1
21278,1
15039,1
20218,1
38443,0
22058,1
1509,1
12708,1
31761,0
29140,0
47307,0
49332,0
30577,0
49038,0
14414,1
10676,1
4245,1
16317,1
2016,1
9654,1
19622,1
48833,0
48731,0
27571,0
18880,1
46967,0
50293,0
13214,1
48355,0
40778,0
18455,1
322,1
16015,1
35744,0
42912,0
28754,0
22274,1
13296,1
19716,1
32874,0
19016,1
51033,0
29412,0
46634,0
42970,0
21098,1
6698,1
40180,0
24174,1
32156,0
21561,1
23979,1
27657,0
37957,0
7489,1
8802,1
7339,1
41486,0
7502,1
47259,0
21721,1
2296,1
27817,0
7822,1
3977,1
3700,1
20289,1
14419,1
33394,0
28261,0
42266,0
11343,1
38745,0
26373,0
5496,1
49100,0
13248,1
45631,0
18411,1
22664,1
1335,1
39120,0
47697,0
24094,1
5782,1
22588,1
195,1
6132,1
23506,1
9273,1
5456,1
32306,0
5440,1
43204,0
1303,1
381,1
50267,0
19810,1
27397,0
37665,0
27872,0
10657,1
39650,0
25974,0
44155,0
50282,0
22386,1
21115,1
13717,1
1904,1
29871,0
18844,1
29762,0
28243,0
39897,0
26986,0
48028,0
20105,1
31992,0
43657,0
17884,1
6323,1
16818,1
36338,0
18903,1
46840,0
8027,1
29697,0
50069,0
34784,0
37648,0
34696,0
28953,0
7601,1
47919,0
17525,1
38104,0
12342,1
12203,1
29060,0
19583,1
37094,0
47074,0
